ID,Title,Price,Category,Description,Images
130,"áo sơ mi Broad MUJI",600000,"Clothes","dễ chịu có xếp li","https://www.muji.com.vn/vn/product/muji-new-w-s-washed-broadcloth-regular-collar-l-slv-shirt-bc2o4a5a"
114,"Áo sơ mi",10000,"Clothes","độ cao bằng ăn bả mía","https://picsum.photos/640/480"
77,"áo sweater-ijxw",100,"Clothes","đẹp","https://cf.shopee.vn/file/sg-11134201-7repj-m2m14qogi6yx3a"
110,"áo phao",2222222,"Clothes","áo ấm","https://i.imgur.com/QkIa5tT.jpeg"
109,"Áo mới Phú Lưu 4444",123123,"Clothes","123123","https://i.imgur.com/1twoaDy.jpeg"
106,"Áo mới Phú Lưu 123",1234,"Clothes","123123","https://i.imgur.com/1twoaDy.jpeg"
104,"Áo mới Phú Lưu",123,"Clothes","Hay","https://i.imgur.com/1twoaDy.jpeg"
87,"Áo mới",12,"Clothes","Tuyệt vời","https://placeimg.com/640/480/any"
69,"Áo khoác Arsenal",23,"Electronics","thoáng mát","https://nhen.vn/products/ao-khoac-track-top-arsenal-terrace-icons-jm9390?variant=1164242881&source=googleshop&gad_source=1&gad_campaignid=22821606600&gbraid=0AAAAAC9fiM8CAZaj26gmAwz40pvXSw5VP&gclid=CjwKCAiA1obMBhAbEiwAsUBbInyXP9Mkdf4qZYU6lgTwPR4nDAtyS7j69WtvXW3xxmOMi6LgiX6eeBoCeoAQAvD_BwE"
103,"à lí ci à mêu 1770170737719",15,"Clothes","description aaaaa","https://i.imgur.com/QkIa5tT.jpeg"
54,"yyyy",2323,"Electronics","fdfsda","https://id.pngtree.com/free-png-vectors/gambar-kelinci-lucu"
58,"xinchao",123,"Clothes","hi","https://placeimg.com/640/480/any"
60,"wadawd",100,"Clothes","New product created from dashboard","https://i.imgur.com/1twoaDy.jpeg"
180,"vos bos convoco demergo tyrannus voluntarius advenio amicitia decumbo nisi denique crur supellex tyrannus conculco sto absum terra tristis nemo videlicet celebrer amaritudo stipes odio audentia tardus alo carcer voluntarius terminatio absconditus attollo vinco sui tero adulescens ratione theatrum adduco coepi ademptio caterva capillus confero verecundia texo arx adfectus speciosus",679,"Electronics","New orchid Table with ergonomic design for thorough comfort","https://picsum.photos/seed/P4rd1GE/2940/3046, https://picsum.photos/seed/Yk0S4o8SzU/3494/3502"
38,"Vibrant Runners: Bold Orange & Blue Sneakers",27,"Shoes","Step into style with these eye-catching sneakers featuring a striking combination of orange and blue hues. Designed for both comfort and fashion, these shoes come with flexible soles and cushioned insoles, perfect for active individuals who don't compromise on style. The reflective silver accents add a touch of modernity, making them a standout accessory for your workout or casual wear.","https://i.imgur.com/hKcMNJs.jpeg, https://i.imgur.com/NYToymX.jpeg, https://i.imgur.com/HiiapCt.jpeg"
39,"Vibrant Pink Classic Sneakers",84,"Shoes","Step into style with our Vibrant Pink Classic Sneakers! These eye-catching shoes feature a bold pink hue with iconic white detailing, offering a sleek, timeless design. Constructed with durable materials and a comfortable fit, they are perfect for those seeking a pop of color in their everyday footwear. Grab a pair today and add some vibrancy to your step!","https://i.imgur.com/mcW42Gi.jpeg, https://i.imgur.com/mhn7qsF.jpeg, https://i.imgur.com/F8vhnFJ.jpeg"
199,"vestigium volaticus denego fugiat culpo sperno terebro vesica cernuus stillicidium creptio adsidue arguo cinis tunc tardus contego tertius volup ascit mollitia canto appello cunabula thesis capto iure teneo decipio soluta clam ars qui decens quis verbum ducimus voluntarius adnuo stips facilis carbo spoliatio supellex solus suasoria peior cetera crepusculum verecundia",565,"Miscellaneous","Discover the bear-like agility of our Ball, perfect for new users","https://picsum.photos/seed/0nn4YHaO/1632/2034, https://picsum.photos/seed/Jlfna4IU/3318/293"
160,"Update Test 2",389,"Electronics","Featuring Radon-enhanced technology, our Gloves offers unparalleled velvety performance","https://picsum.photos/seed/ofGVO/3871/2430, https://picsum.photos/seed/VE5Fmeg/355/3033"
159,"Update Test 1",809,"Miscellaneous","Savor the savory essence in our Soap, designed for zany culinary adventures","https://picsum.photos/seed/hgmP5Rk/3924/675, https://picsum.photos/seed/qKpM868t0u/3382/1813"
157,"Update Test 0",994,"Shoes","New black Soap with ergonomic design for unsteady comfort","https://picsum.photos/seed/00UqGXnA/1251/2340, https://picsum.photos/seed/2dMbz4KM0/2367/1650"
151,"Unbranded Aluminum Chicken",78,"Shoes","New Pants model with 20 GB RAM, 528 GB storage, and elementary features","https://picsum.photos/seed/Iz2B5/3623/747, https://picsum.photos/seed/KqXrSAH/2041/1992"
158,"una porro iure cribro varius optio solvo umquam vulpes veniam subseco substantia et curis volva eveniet communis clibanus creta tollo degusto tantillus sonitus concido angulus certus aurum arma uberrime ademptio ad aurum coniuratio cavus dapifer exercitationem amitto aequus nesciunt cura vero solitudo saepe aeternus uterque cribro defluo calcar auditor usus",564,"Clothes","Experience the lime brilliance of our Hat, perfect for sardonic environments","https://picsum.photos/seed/AcOah67rE/3213/2655, https://picsum.photos/seed/mmATmcIhZV/2383/2938"
169,"ullus accedo aro aliquid comburo creta ad vulpes vero conscendo corporis tenax alias corrumpo commodo volup sui tumultus callide inflammatio voro tabernus porro video adiuvo acquiro combibo vomer accusamus corporis occaecati tubineus conforto apto caute autus animadverto carpo appello tripudio auxilium debeo tamen aeneus vilitas trans studio aeternus strenuus stipes",765,"Shoes","Small Bike designed with Marble for closed performance","https://picsum.photos/seed/brz68/1964/2302, https://picsum.photos/seed/mbvMI9EKU/1343/3497"
6,"Tnak Foundation pel prik Rean ot torn te cher",10,"Clothes","muy muy cher","https://shop.creatorset.com/cdn/shop/files/preview_images/Green_Screen_Ukranian_Kid_Crying_530x@2x.png?v=1725881563"
111,"thit ga",5222,"string","ngon","https://placehold.co/600x400"
94,"test1",12,"Clothes","2w","https://placehold.co/600x400"
